date,s1,s2,s3,s4,s5,s6,g1,g2,g3,g4,r1,r2,r3,r4,jp,total
20/07/2016,2,17,33,37,38,45,0,3,222,4242,0,4.613E-5,0.00341328,0.0652214,12357724500,65040
22/07/2016,3,4,14,20,25,35,0,1,148,3276,0,1.098E-5,0.00162482,0.03596562,12858704500,91087
24/07/2016,1,10,16,18,23,38,0,5,323,5182,0,6.669E-5,0.00430839,0.06912098,13271044500,74970
27/07/2016,14,17,21,25,31,37,0,5,333,5431,0,4.098E-5,0.00272958,0.04451749,13942033000,121997
29/07/2016,3,8,13,20,30,36,0,5,310,5170,0,4.412E-5,0.0027354,0.04561939,14565346500,113329
31/07/2016,2,6,19,21,35,39,0,5,446,7000,0,4.946E-5,0.00441156,0.06923975,15121387000,101098
03/08/2016,7,10,25,27,29,40,0,12,496,7254,0,9.851E-5,0.00407192,0.05955176,15791342500,121810
05/08/2016,3,9,13,18,24,31,0,9,513,8032,0,8.011E-5,0.00456613,0.07149151,16409266000,112349
07/08/2016,3,5,17,22,30,31,0,6,351,5788,0,4.369E-5,0.00255591,0.04214696,17164580000,137329
10/08/2016,6,15,16,19,27,30,0,9,557,9195,0,6.279E-5,0.00388573,0.06414594,17952978000,143345
12/08/2016,28,31,34,37,38,41,0,6,350,6440,0,3.714E-5,0.0021665,0.03986357,18841509500,161551
14/08/2016,13,16,17,29,31,37,0,26,902,10113,0,0.00031824,0.01104039,0.12378213,19290861000,81700
17/08/2016,2,4,9,19,21,26,0,8,673,10472,0,4.571E-5,0.00384558,0.05983795,20253396500,175006
19/08/2016,11,12,17,33,34,36,0,15,608,10440,0,0.00010592,0.00429327,0.07371996,21032293000,141617
21/08/2016,13,21,24,25,29,44,0,5,569,9629,0,2.893E-5,0.0032922,0.05571274,21982877500,172833
24/08/2016,8,17,21,23,36,40,0,15,599,10625,0,7.134E-5,0.00284869,0.05052979,23139377500,210272
26/08/2016,10,36,39,43,44,45,0,12,371,7733,0,6.141E-5,0.00189862,0.03957422,24214106500,195405
28/08/2016,4,6,10,15,16,44,0,9,474,9099,0,3.511E-5,0.00184901,0.03549403,25624053000,256353
31/08/2016,8,20,21,31,34,39,0,18,613,11047,0,4.41E-5,0.00150197,0.02706722,27868784500,408132
02/09/2016,9,13,24,35,36,41,0,17,649,11459,0,4.474E-5,0.00170819,0.03016042,29958428500,379935
04/09/2016,11,15,20,24,27,45,0,7,635,10382,0,1.808E-5,0.00164001,0.02681357,32087986000,387192
07/09/2016,6,8,12,13,15,19,0,43,1214,17170,0,0.00011183,0.00315713,0.04465226,34202887000,384527
09/09/2016,7,13,16,18,31,32,0,24,813,14666,0,5.512E-5,0.00186702,0.03367987,36597883000,435453
11/09/2016,6,9,10,18,20,31,0,13,846,13890,0,3.012E-5,0.00196008,0.03218138,38971774000,431616
14/09/2016,2,11,14,23,25,32,0,36,1363,19385,0,7.743E-5,0.00293174,0.04169615,41528788000,464911
16/09/2016,4,5,6,23,31,34,0,12,673,12773,0,2.257E-5,0.00126579,0.02402367,44453054500,531684
18/09/2016,7,10,17,20,25,32,0,22,1009,15864,0,4.564E-5,0.00209306,0.03290815,47104438000,482069
21/09/2016,5,12,15,30,37,41,0,17,951,16757,0,2.646E-5,0.00148038,0.02608487,50637656500,642403
23/09/2016,8,14,19,29,30,40,0,24,1012,15853,0,4.264E-5,0.00179809,0.02816709,53733170500,562820
25/09/2016,1,20,28,32,42,44,0,13,730,14744,0,2.151E-5,0.00120782,0.02439456,57057357500,604397
28/09/2016,3,6,17,21,32,40,0,26,1107,19336,0,3.779E-5,0.00160882,0.02810138,60841799500,688080
30/09/2016,6,20,30,38,40,45,0,14,957,14569,0,2.297E-5,0.00157045,0.02390791,64193390500,609380
02/10/2016,16,23,27,34,35,38,0,44,1317,18578,0,7.996E-5,0.00239336,0.03376149,67219887000,550272
05/10/2016,5,6,19,31,42,44,0,21,1106,20845,0,2.743E-5,0.00144482,0.02723085,71430098000,765492
07/10/2016,24,25,27,34,44,45,0,20,1048,17134,0,2.677E-5,0.00140279,0.02293456,75539052000,747082
09/10/2016,2,15,20,32,33,44,0,21,1201,20344,0,2.846E-5,0.00162784,0.02757439,79596879500,737786
12/10/2016,2,8,15,16,19,25,0,49,2076,30595,0,6.037E-5,0.00255786,0.03769644,84060767000,811615
14/10/2016,3,7,9,18,28,39,0,66,2445,30221,0,0.00010379,0.00384494,0.04752469,87558225500,635901
16/10/2016,5,21,31,33,38,42,1,17,1178,20388,1.23E-6,2.091E-5,0.00144881,0.02507493,92030182500,813083
19/10/2016,2,13,15,17,18,41,0,26,1506,25582,0,5.378E-5,0.00311487,0.05291145,14659178500,483487
21/10/2016,16,17,30,32,34,38,0,44,1913,31209,0,7.602E-5,0.00330499,0.05391813,17842703500,578822
23/10/2016,2,5,12,21,22,40,0,51,2505,42746,0,6.207E-5,0.00304854,0.0520211,22362082500,821705
26/10/2016,1,8,16,18,21,28,0,105,4120,69563,0,5.804E-5,0.00227733,0.03845097,32312328000,1809135
28/10/2016,10,11,13,14,16,38,0,47,3437,56659,0,2.435E-5,0.00178065,0.02935403,42928404000,1930195
30/10/2016,7,12,25,28,40,44,0,72,3160,53369,0,4.051E-5,0.00177801,0.03002862,52703398000,1777271
02/11/2016,3,5,8,10,13,22,1,79,4255,66894,4.5E-7,3.589E-5,0.00193327,0.03039345,64808542500,2200935
04/11/2016,5,13,22,24,28,32,0,69,3393,56670,0,7.249E-5,0.00356455,0.05953525,17235306000,951873
06/11/2016,4,15,16,20,26,41,0,79,3581,61079,0,7.221E-5,0.00327307,0.05582676,23252753000,1094081
09/11/2016,2,10,14,24,25,30,0,111,5563,93158,0,3.882E-5,0.00194571,0.03258288,38977855000,2859109
11/11/2016,10,17,22,23,30,36,0,90,4637,79638,0,3.14E-5,0.00161767,0.02778267,54743403000,2866463
13/11/2016,11,23,25,34,36,45,1,128,5554,87443,3.4E-7,4.313E-5,0.00187138,0.02946331,71066641000,2967861
16/11/2016,1,9,17,28,43,44,0,131,6483,109092,0,6.495E-5,0.00321448,0.05409131,23092467000,2016812
18/11/2016,11,12,16,24,26,31,0,120,6130,101233,0,4.253E-5,0.00217248,0.03587711,38611602000,2821660
20/11/2016,9,23,33,38,41,42,1,129,5555,93293,3.1E-7,4.057E-5,0.001747,0.0293399,56100126000,3179731
23/11/2016,2,22,23,24,28,37,0,137,6685,111913,0,7.059E-5,0.00344462,0.05766607,22673898000,1940708
25/11/2016,3,4,25,31,37,40,0,95,5266,87124,0,3.443E-5,0.00190855,0.03157629,37849277000,2759159
27/11/2016,12,16,17,18,22,30,1,110,5613,94353,3.2E-7,3.551E-5,0.00181196,0.03045854,54886916500,3097752
30/11/2016,6,15,17,20,23,41,0,128,6151,103216,0,7.241E-5,0.00347968,0.05839023,21722316000,1767693
02/12/2016,17,26,33,34,37,42,0,95,4740,78792,0,4.237E-5,0.00211416,0.03514321,34053459000,2242026
04/12/2016,3,5,13,27,38,44,0,119,5137,85135,0,4.277E-5,0.00184614,0.03059585,49357581000,2782567
07/12/2016,13,23,27,28,32,45,1,169,6539,113471,2.7E-7,4.596E-5,0.00177826,0.030858,69582180000,3677199
09/12/2016,11,12,15,17,21,26,0,102,5292,83781,0,8.594E-5,0.00445858,0.07058666,18528083000,1186924
11/12/2016,2,3,4,5,22,24,0,130,5253,76756,0,8.894E-5,0.00359384,0.05251268,26567247500,1461666
14/12/2016,5,6,12,16,26,30,0,112,6196,97449,0,3.836E-5,0.00212193,0.03337315,42627154000,2919982
16/12/2016,5,8,33,34,39,44,0,95,4340,71908,0,3.542E-5,0.00161835,0.02681387,57376762500,2681746
18/12/2016,3,7,30,32,41,43,0,85,4495,76179,0,2.839E-5,0.00150138,0.02544458,73843316500,2993918
21/12/2016,3,6,12,14,18,40,0,151,8092,138149,0,3.384E-5,0.0018135,0.03096063,98384793500,4462086
23/12/2016,1,17,24,25,37,43,0,160,8884,151358,0,3.175E-5,0.00176304,0.03003712,126099475000,5039032
25/12/2016,5,12,20,29,34,36,2,196,10127,176792,3.3E-7,3.254E-5,0.00168103,0.02934661,159232985000,6024274
28/12/2016,2,22,25,33,38,43,0,103,5767,95614,0,5.948E-5,0.00333013,0.05521194,21524698500,1731763
30/12/2016,7,23,27,29,35,37,0,101,5458,86880,0,4.775E-5,0.00258037,0.04107415,33158297500,2115199
01/01/2017,9,18,24,33,36,39,1,158,6287,93921,3.5E-7,5.558E-5,0.00221148,0.03303718,48794185000,2842888
04/01/2017,4,19,25,27,29,31,0,95,5251,87141,0,6.412E-5,0.00354434,0.05881869,20148356500,1481519
06/01/2017,22,30,34,36,43,45,1,87,4203,72269,5.3E-7,4.609E-5,0.0022264,0.03828209,30531270500,1887802
08/01/2017,12,18,29,32,39,45,0,74,3893,67251,0,6.057E-5,0.00318672,0.05505008,18718983500,1221633
11/01/2017,2,8,21,29,37,45,1,107,4412,76356,5.5E-7,5.869E-5,0.00241981,0.04187835,28747032500,1823281
13/01/2017,12,24,29,32,37,39,1,100,4117,62391,1.0E-6,0.00010015,0.00412329,0.06248635,17491608500,998474
15/01/2017,5,25,27,29,31,43,0,115,4520,65295,0,0.00012275,0.00482449,0.06969364,17152877000,936886
18/01/2017,11,22,26,28,35,43,0,97,4861,77375,0,7.582E-5,0.00379965,0.06048097,24189181500,1279328
20/01/2017,1,11,31,32,34,37,0,74,3419,58607,0,5.922E-5,0.00273594,0.04689824,31062333000,1249663
22/01/2017,1,20,21,22,26,29,0,68,3641,62334,0,2.876E-5,0.00154018,0.02636786,44064415000,2364014
25/01/2017,6,9,14,18,28,30,0,123,5537,89125,0,4.513E-5,0.0020315,0.03269956,59055061500,2725572
29/01/2017,5,13,21,27,29,45,1,145,6399,101133,3.3E-7,4.748E-5,0.00209553,0.03311886,75850074500,3053638
01/02/2017,2,10,11,18,22,33,0,75,3383,52194,0,8.926E-5,0.00402615,0.06211671,16621416500,840257
03/02/2017,8,17,31,32,33,39,1,78,3313,55942,9.8E-7,7.657E-5,0.00325212,0.05491396,22224383000,1018721
05/02/2017,1,11,26,29,34,40,0,49,2736,46235,0,5.287E-5,0.00295226,0.04988951,17097119000,926748
08/02/2017,15,26,29,32,34,38,0,110,4559,71916,0,9.119E-5,0.00377962,0.05962161,23731260500,1206207
10/02/2017,2,6,10,13,20,28,1,122,4354,65488,7.5E-7,9.163E-5,0.00327007,0.0491847,31054352000,1331471
12/02/2017,4,6,12,21,23,28,0,74,3384,53287,0,9.479E-5,0.00433468,0.06825707,16293746000,780681
15/02/2017,4,16,19,27,29,30,0,81,4306,64569,0,7.715E-5,0.00410148,0.06150219,22068008000,1049865
17/02/2017,12,15,25,27,37,41,0,86,4144,62854,0,5.879E-5,0.0028329,0.0429679,30113481000,1462813
19/02/2017,1,17,24,25,33,35,1,81,3669,62482,4.8E-7,3.86E-5,0.00174837,0.02977425,41655369000,2098525
22/02/2017,1,3,8,18,28,42,0,52,3267,52020,0,5.614E-5,0.00352698,0.05615958,17094590500,926289
24/02/2017,2,4,19,23,44,45,0,44,2933,49304,0,4.866E-5,0.00324357,0.05452474,22067968000,904250
26/02/2017,7,11,16,19,38,39,0,71,3839,59545,0,5.731E-5,0.00309898,0.04806683,28881350000,1238796
01/03/2017,3,4,26,30,35,44,1,71,3348,58591,4.4E-7,3.159E-5,0.00148983,0.02607247,41241151500,2247236
03/03/2017,2,4,13,22,23,41,0,56,2380,39367,0,7.881E-5,0.00334933,0.05540044,15908249000,710590
05/03/2017,18,21,24,26,39,45,2,55,2695,44111,2.56E-6,7.034E-5,0.00344662,0.05641327,20208845500,781926
08/03/2017,5,11,14,20,32,42,0,67,2614,45495,0,8.701E-5,0.00339456,0.05908012,16235308500,770056
10/03/2017,4,9,21,27,38,44,0,43,2323,40260,0,5.307E-5,0.00286707,0.04968929,20691602500,810235
12/03/2017,6,11,30,32,35,42,0,52,2581,45027,0,5.652E-5,0.00280536,0.04894117,25751732000,920023
15/03/2017,3,9,10,31,32,40,0,74,3105,54469,0,6.006E-5,0.0025199,0.04420489,32528800000,1232194
17/03/2017,7,12,24,43,44,45,1,56,3008,53995,5.2E-7,2.933E-5,0.00157558,0.02828237,43029075000,1909140
19/03/2017,1,2,6,12,31,36,0,43,2168,36379,0,6.73E-5,0.00339305,0.05693524,15514249500,638954
22/03/2017,1,9,24,28,33,36,0,48,2734,45501,0,5.816E-5,0.00331275,0.05513301,20053374000,825295
24/03/2017,10,14,30,32,37,42,1,56,2182,38591,1.27E-6,7.137E-5,0.00278078,0.04918106,24369075000,784672
26/03/2017,6,12,23,25,29,43,0,48,2467,39046,0,9.004E-5,0.00462762,0.07324288,14932069000,533103
29/03/2017,4,5,24,26,28,37,0,41,2931,45338,0,5.664E-5,0.00404907,0.06263279,18913358000,723870
31/03/2017,1,4,5,11,20,30,0,62,2550,38437,0,9.251E-5,0.00380479,0.05735094,22599497500,670207
02/04/2017,3,5,7,12,27,33,1,76,3468,53130,1.07E-6,8.103E-5,0.00369769,0.0566488,27757861500,937884
05/04/2017,13,14,20,21,23,33,0,27,1967,33816,0,3.972E-5,0.00289385,0.04975004,15738450500,679718
07/04/2017,4,5,16,17,32,40,0,27,1994,33306,0,4.27E-5,0.00315384,0.05267886,19215805000,632246
09/04/2017,5,8,21,25,26,37,1,33,2404,42322,1.36E-6,4.487E-5,0.00326871,0.05754509,23260825500,735458
12/04/2017,2,3,8,13,19,41,0,49,1927,34385,0,8.804E-5,0.00346228,0.0617803,15061131500,556569
14/04/2017,4,5,10,33,36,38,0,32,1755,31477,0,5.277E-5,0.00289411,0.05190772,18396351500,606403
16/04/2017,6,7,18,29,32,44,2,70,2555,38962,3.49E-6,0.00012201,0.00445333,0.06791023,21551860500,573728
19/04/2017,19,20,32,33,38,44,0,23,1558,27221,0,3.846E-5,0.00260497,0.04551337,15289489000,598088
21/04/2017,7,8,15,30,32,39,0,18,1756,31176,0,3.014E-5,0.0029402,0.0522003,18574303000,597238
23/04/2017,13,17,22,30,31,43,0,38,2212,36734,0,5.378E-5,0.00313028,0.05198352,22460863000,706647
26/04/2017,14,16,17,20,35,39,0,48,2522,43316,0,5.639E-5,0.00296271,0.05088529,27142731500,851248
28/04/2017,2,9,11,12,15,23,0,123,4317,60073,0,0.00020819,0.00730682,0.10167767,30392235000,590818
